id,registered,title
2022SR0121155,2022-01-19,面向自动采摘的果实边缘快速检测系统V1.0
2022SR0123685,2022-01-19,老人面部情绪识别系统V1.0
2022SR0121157,2022-01-19,基于颜色和纹理特征的柑橘果实识别与定位系统V1.0
2022SR0121156,2022-01-19,基于优先环境配置策略的无人机深度强化学习控制系统V1.0
2022SR0113194,2022-01-18,基于人工智能的果蔬识别系统V1.0
2022SR0119239,2022-01-18,全自动纸浆模塑成型机控制系统软件V1.0
2022SR0115611,2022-01-18,基于农业物联网的果园生产管控平台V1.0
2022SR0119238,2022-01-18,基于农用无人机低空遥感的典型虫害识别定位软件V1.0
2022SR0115616,2022-01-18,人机协作场景中基于三维姿态估计的人员安全保障系统V1.0
2022SR0113111,2022-01-18,基于行人再识别和地理空间大数据的密切接触者实时追踪系统V1.0
2022SR0113192,2022-01-18,老人活动轨迹实时追踪系统V1.0
2022SR0115617,2022-01-18,人机协作安全监测系统V1.0
2022SR0113189,2022-01-18,智能人机交互系统V1.0
2022SR113188,2022-01-18,人体运动分析与评估系统V1.0
2022SR0113191,2022-01-18,行人匹配与智能检索系统V1.0
2022SR0106219,2022-01-17,老人异常行为识别系统V1.0
2022SR0106194,2022-01-17,“智隧云”-智慧隧道安全施工动态管理云平台V1.0
2022SR0121158,2022-01-17,基于深度学习的既有建筑脆弱性分析系统V1.0
2022SR0107161,2022-01-17,智慧农林植保无人机变量喷施控制软件系统V1.0
2022SR0106294,2022-01-17,作业行为规范检测系统V1.0
2022SR0106316,2022-01-17,复杂空间中行人三维姿态实时评估系统V1.0
2022SR10106231,2022-01-17,人员穿戴规范检测系统V1.0
2022SR0107199,2022-01-17,基于RGBD摄像机的不规则物体体积测量系统
2022SR0106315,2022-01-17,自然环境下目标分割系统V1.0
2022SR0106317,2022-01-17,复杂环境下目标检测系统V1.0
2022SR0106319,2022-01-17,基于行为识别的老人异常状况统计分析与病情预测系统V1.0
2021SR1966412,2021-12-01,基于物联网的农用无人机典型害虫识别系统
2021SR1966463,2021-12-01,基于多传感器的农用无人机变量喷施控制系统
2020SR1670623,2020-11-28,人体速度估计与运动轨迹分析系统V1.0
2018SR847037,2018-10-24,图像分类系统
2018SR847208,2018-10-24,人体骨骼识别与目标跟踪系统
2018SR847043,2018-10-24,人体行为分析与身份识别系统
2018SR546394,2018-07-12,智能语音交互系统
2018SR546398,2018-07-12,移动机器人自主导航与路径规划软件
2018SR061334,2018-01-25,基于机器视觉的非金属产品表面缺陷检测与纹理分析系统
2016SR246924,2016-09-02,铝合金自动成型产线生产过程实时调度系统V1.0
2016SR189535,2016-07-22,全系列铝型材切割专家系统V1.0
2016SR039260,2016-02-26,数控板材加工CAD/CAM系统V1.0
